id,product_id,user_id,profile_name,helpfulness_numerator,helpfulness_denominator,score,time,summary,text,helpfulness_percentage
342798,B000ET4SM8,A28SIFKY1M8QJ3,J. Mack,11,12,5,1172016000,Freshness!,"Received my vanilla beans very quickly.  They arrived fresh, sealed well and exactly as we'd hoped.",0.9166666666666666
357608,B0002AWQ0A,A1CEC47NNA9PSN,"G. Meyer ""Soil Scientist""",11,12,5,1184889600,Yum!,My favorite type of lentils.  Very hearty and are great mixed with a brown rice dish.,0.9166666666666666
397425,B0014UH6WU,A1FM6KDC6GGS2O,"Frank A. Kotch ""Comfut.us""",11,12,4,1192924800,Great Product,"The product is great, but the shipping and handling is more than the product. This is not acceptable.",0.9166666666666666
42662,B000F0FX5C,A39EEXJAI2SBNO,"Daddyn4wisechix ""Crunchy Christian Mama =)""",11,13,5,1251849600,GREAT sprouting trays!!!!,"These are GREAT for growing any amount of sprouts, from a 12 tray to 3 full trays... LOVE THEM!!",0.8461538461538461
209391,B0027Z54D4,A113WOKAJ33ZO1,Jacob Gadd,11,13,3,1266278400,overpriced,"Great product, but it's way overpriced. Their usually either 2, or 3 for a dollar at any grocery store.",0.8461538461538461
270327,B000EDK5OY,A15H9AV9WM3ZON,"Richard F. Mccoy ""bronx bomber""",11,13,5,1163030400,green lentils-the best ever,I have had many different types of lentils...these are by far the very best!!,0.8461538461538461
505253,B002GC9HKE,A6ONBR885M27S,Patricia Robinson,11,13,5,1282867200,Red Miso paste,"Wonderful, quickly delivered, not as pictured, but it is 2.2 lbs and so good. No complaints",0.8461538461538461
552381,B0007OPW5C,A1BDOVKT96RTYJ,Geezer,11,13,1,1150416000,Weak flavor!!,This used to be the bomb back in the day...hot and flavorful.  Now they are weak.  And splintery!,0.8461538461538461
25954,B001FA1KXU,A1SGBCM7XUC5HF,"diamond ""punky""",11,14,5,1267315200,none such mincemeat,This was a very hard to find item and was very pleased with the service I received,0.7857142857142857
129850,B000E7L2T2,A3DSAHJC6HEKJI,"Sherri B. Roman ""50Chickens""",11,14,3,1242864000,wrong wheat,"My items came in great condition, but instead of the hard red winter wheat I got Spring wheat. Go figure.",0.7857142857142857
341830,B001EQ55E0,AOWEZTD98JK08,cliftonia,11,14,5,1270684800,Tastes great!,"Very good to flavor broth. I got this kind, genmai, because I cannot have gluten grains. No reactions so far.",0.7857142857142857
349166,B001GB799M,A13A943ZWQVT0Z,"A. Gordon ""A. Gord.""",11,15,2,1283040000,"Great product, bad price",You can get 16 ounce boxes at grocery stores for 1-2. These things are amazing though!,0.7333333333333333
102158,B001ELLB16,A3F3B1JPACN215,Michael G. Lustig,11,16,4,1208649600,Kind of expensive,Check you local grocery for a better price.  The oil is good but overpriced on Amazon.,0.6875
184892,B00171417O,AB1J8UVVO7ND6,"Carol Demech ""amazonhastoomanydelays""",11,17,1,1236384000,HORRIBLE!!!,The worst beef I have ever tasted. Omaha gave me my money back via Amazon.,0.6470588235294118
277798,B002OMV09W,A2C1LD5228MIGE,Darwin,11,17,1,1278115200,another dud,"one more can with no seeds, no plant, should have just purchased bag of seeds for 3",0.6470588235294118
207691,B00012182G,A3OHIJCNOC1PSD,Elizabeth S. Fisher,11,24,1,1325462400,rabies,"Instead of fresh whole rabbit, I was shipped a dead rabid raccoon stuffed with dead moths. would not buy again.",0.4583333333333333
279369,B005NYXE1K,AL76ZXAYKV9YA,Christopher Beck,11,29,1,1275782400,NO REAL Product Description,BUYING THIS ITEM WITH NO PRODUCT DESCRIPTION IS LIKE SIGNING A BLANK CHECK. ONLY A MORON WOULD DO THAT,0.3793103448275862
15562,B000255OIG,A1R87YSXT4SDS4,Robert J. Ruddy,10,10,5,1139270400,Freeze dried liver treats,My dog has never stopped loving these treats for over a year.  Service was great and shipping was prompt.,1.0
38640,B001VNEII0,AG3KUNENZK0LB,"fernwood ""fern""",10,10,5,1296777600,Best Catnip on Amazon,"Full 1 LB. Strong, strong stuff. All 16 cats completely stoned. Love it!. Will be making tea with it tonight.",1.0
58975,B0020ZURDI,A24JOFEDG0L0LW,WAB,10,10,5,1301961600,"Excellent product, writes on chocolate",These markers work awesome on chocolate. Tried the wilton ones and they did not work at all. Highly recommend these!,1.0
64302,B001EO5YAC,A35ZL3L9QIYBZ8,brian,10,10,4,1174953600,good flavor,"I normally like a much darker and oilier bean but this has a great, mellow(in my book), almost chocolaty flavor...",1.0
101364,B00017LEXO,AK8VPARRIPPNL,"Carlos Dominguez ""tobicito""",10,10,5,1245974400,great product,have ordered from this company in the past and very satisfied with their popcorn. will order again and again.,1.0
188687,B000HJPBGC,A2HXHIL7MNSNP5,"GSD ""Nature Lady""",10,10,5,1273708800,Great Coffee!,Makes a really aromatic and flavorful cup of coffee. A fantastic value. Would purchase again.,1.0
237605,B001CHFSR0,A3VGX4UPUL1VI2,J. Williams,10,10,2,1226966400,Nice Coffee - Not Much Flavor,"Nice Coffee if you like a bolder coffee. Did not have much ""mudslide"" flavor. Not one of my favorites.",1.0
251866,B000EVKHNA,A3B1CIYNCXHNPM,P. J. Parton,10,10,5,1173312000,All-purpose Flour,You can use this flour to replace any all-purpose flour called for in a recipe.,1.0
255754,B001VNEBSC,A1FSMGI12S1BV5,"Priscilla D'agostino ""Prissydag""",10,10,5,1264118400,Wonderful,This was the best cinnamon I have ever used. Be careful as it is almost too flavorful.,1.0
281931,B000GKVRRO,A3F2E8PO709P2I,just me,10,10,1,1288137600,stale,chocolate is last year's candy obviously discolored and yuck  what a hassle,1.0
292354,B000JKPXU8,A3FBPC699DPYFP,Terry Gruggen,10,10,5,1178409600,Black Truffle Salt,"After you use this product, you will never reach for ordinary salt again. This is the Bordeaux of salt.",1.0
308768,B001EO5RF4,A3OVOF7RDUOI04,Nancy PM,10,10,5,1163980800,Delicious!,This is so good!  Just a couple of drops sweetens and flavors a cup of coffee wonderfully!,1.0
392137,B002C0E5VG,A36TZAEKZZ4Z3D,Rocklike,10,10,5,1284940800,Great stuff! Highly recommended!,Great sourdough starter.  Produces a wonderfully fragrant mix and great bread.  Also has a great website for support.,1.0
426219,B0006VM0KG,ARNG51V6XKE60,"Paula Prieto-oharra ""wat eva""",10,10,5,1149033600,unbelievable,taste just like chocolate.  i freeze it and make my one zero calorie chocolate bars.  BUY NOW~~!!!,1.0
451452,B000BF54O6,AMCJULRQPS9JT,Jon R. Marple,10,10,5,1162166400,"Great product, great price","We use this ""meat"" in veggie loaf, veggie tacos, and caseroles.  It is very tasty and versitile.",1.0
504060,B002ESS6RK,A1L7WI27VHD4CW,D. Biancur,10,10,5,1264982400,One of the best coffees I have ever tasted!,This is truly delicious coffee and it has the side benefit of making the whole house smell like you're baking!,1.0
61820,B000BLNU6E,A30SFOOWLUGX5L,Linda Pyfrom,10,11,5,1190851200,a great gift for any occasion,"I sent this gift to a friend, she just loved it, and the basket was expecially beautiful too.",0.9090909090909091
93559,B004IJMVQK,A1XMXW9OQTRNE8,"Ann ""Emily Ann""",10,11,5,1199232000,"A sweet, healthy treat","Low sugar, low fat, a measured amount, and sweet and chocolatey enough to satisfy my evening sweet tooth cravings.",0.9090909090909091
142664,B001FA1KJO,A95O3GG9L3S05,"Pat G ""Grey Mom""",10,11,5,1206316800,Good Coffee,These coffee bags are so convenient and taste really good.Plus they are available in both regular and decaffeinated.,0.9090909090909091
200592,B000NMDVEW,A25PPBVUVZMOT3,David C. Arlund,10,11,5,1190592000,Bazooka Bublble Gum,"Great product, tastes just like the old days. Bought it for my office staff, loved it. Great price, timely delivery.",0.9090909090909091
214661,B001KQAR24,AIJW4T6B9DXIQ,Mark A. Sutherland,10,11,4,1178928000,hemp seed quality,Hemp seed was equal to other more expensive sources but still has a fair amount of hulls in it,0.9090909090909091
309128,B0014K91GY,A3R51GILMXKYUA,"Thomas G. Pisani ""Tom""",10,11,1,1222473600,bad hot cocoa---easily,"Yes, it is easy, but not good at all. Hot water with little chocolate flavor---Swiss Miss is way better!",0.9090909090909091
318593,B000FI4O8Q,AEZE40LVVFYS9,SailRad,10,11,5,1168387200,Love winter garden salad!,This thing is amazing. Little upkeep. The lettuce is like a forest and I can't wait to grow tomatos.,0.9090909090909091
349120,B000S6TU4S,A2FK2XGAGQYLZ4,"C. Foster ""mozzy""",10,11,1,1187913600,Nothing heart-healthy here!,"Overprocessed, oversalted, overadvertised crappy junk food! This is actually a Heart Attack Snack Package. What a shame.",0.9090909090909091
454795,B002AQP5IE,A3IXZ5CY12ZZCL,"K. McDowell ""Momof3kids""",10,11,5,1245024000,BEST GLUTEN FREE CAKE I HAVE EATEN,I GIVE  this 2 thumbs up.!!! I used mayo instead of butter and it was wonderful.,0.9090909090909091
469287,B0002FZB3O,AB567NOV2XTIO,C. Hargett,10,11,5,1176163200,Miracle Grow Leaf Shine,"This product is just what I was looking for, adds nutrients and forever shine to the foliage.",0.9090909090909091
493575,B002KLLHF4,ACARB24LHTJW5,Murr01,10,11,5,1284249600,Amazing clarity!,"This stuff is awesome!! Great as tea, or chewing , gives a quick burst of energy aswell as mental clarity!!",0.9090909090909091
522200,B0009K3R1A,AWPJSZQZADULY,Douglas N. Riggle,10,11,5,1178928000,Just what I was looking for,"Easy to make, and tastes just like what I recall from Torino, Italia!",0.9090909090909091
526392,B001E5E1KA,A1MFG9E45RX5OW,dolphins,10,11,4,1237939200,Good product,I've used several brands of Stevia and am very happy with these packets.  No aftertaste and clumping.,0.9090909090909091
212392,B000CO7IC2,AMT97K5BYYJ5V,"strider9898 ""strider9898""",10,12,5,1193097600,Good Price; HIGH Freight!,The sale prices are really good but hidden in the total cost is the exhorbatant freight costs.,0.8333333333333334
362443,B0007OPWJS,A3LNJ3BJKOHFKU,Candy Lover,10,12,1,1194134400,shipping costs VERY high,Shipping costs are VERY high for this product - 16.16 for a 6 lb. box,0.8333333333333334
27750,B002RBTV78,A3S61UI3RKZ3V7,"Michael Kenney ""Creegan""",10,13,5,1273795200,"Lindt Lindor Truffles Milk Chocolate, 60-Count Box  to expensive",I love these but you can get 5  5.1Oz bags at wall mart for 17 dollars,0.7692307692307693
41059,B000M36L9E,A1KTMOJ5FXYTB7,"Alayne E. Heishman ""Alayne""",10,13,5,1181606400,works like a charm,Upset stomach reach for good ole cola syrup rather than the pills or pink stuff.,0.7692307692307693
292089,B000VK08OC,A25HLEN9T7IJUR,"Dee Dovey ""Dee Dee""",10,13,4,1227052800,Packaged in plastic jar,I wish this product were packaged in a glass jar.  The taste is very good.,0.7692307692307693
338501,B000W77S60,AP54O39119ZYW,"Cheryl R. Sutton ""liquid sunshine""",10,13,5,1206835200,super grain,"I like the product, I just wish it didn't cost so much. It mixes well with allot of foods.",0.7692307692307693
414633,B001H0FI36,A3DJRNEMOM1XF,"Kevin ""Kevin""",10,13,3,1240444800,Tastes like generic Hot Cocoa powder,  Length:: 1:06 Mins   See attached video.,0.7692307692307693
280993,B000FFLHSY,A34LT11CN4IDSG,BJ,10,14,1,1190073600,BJ Port Orchard WA,These were the worst berries I have ever tasted and they left a funny after taste in your mouth.,0.7142857142857143
102623,B000MUNUWI,AVZXJ9ITUTPBZ,ITX,10,15,5,1260748800,Delicious but Amazon's $64.62 price is absurd,"The GoRaw company only charges 53.80 per case. Since Amazon offers free shipping, the price should be 53.80.",0.6666666666666666
425287,B00016LA8Y,AUARWGEAULRGY,Lisa Guidotti,10,15,5,1117929600,YUMMMMMMMMMMY,I made lobster bisque with this and it was better than any 5 star resturant!,0.6666666666666666
136322,B006Q820X0,ANYM27QFXXAHF,SaritaPagits,10,16,5,1335225600,Great taste!,So happy overall with this! I loved the great taste and it worked perfect. So glad to have found it.,0.625
469114,B000AQFQC6,A1MUUTF4Z9503V,"Heather L. Hurd ""Bibliophile Extraordinaire""",10,16,1,1145232000,Ew.,"These noodles have a terrible, squidy texture and a wholly unpleasant smell.  They cook strangely and taste odd.",0.625
105108,B0036VLZDQ,A2JQ8P1SU3U3VQ,julie m hetland,10,17,1,1284336000,High price on Amazon,"Most products are cheaper on Amazon, this is twice the price of Babies R US!",0.5882352941176471
87765,B000EVT042,A3DOCEQ5V805R9,"Bob Palin ""Killer""",10,18,1,1292803200,Not vegetarian - contains gelatin,I searched for 'vegetarian candy' and this was one of the first results - gelatin is made from animal by-products.,0.5555555555555556
446464,B0001HAF3Y,A1JEZHC7537JO4,Arcrftmek,10,71,1,1250035200,buyer beware,Don't be fooled by the fancy french name. They are nothing more than snail shells.,0.14084507042253522
8937,B0007A0AP8,A3NWHK8FRD594U,essential researcher,9,9,5,1224460800,chewy treats,My golden retriever loves them. You can chop them into squares if you want smaller treats.,1.0
80640,B000QSN1ZW,A1P6L0VUEUUX4S,Sherie,9,9,5,1282176000,Does not state in any of your ads how many cans you get,Does not state in any of your ads how many cans you get. Please clarify.,1.0
106312,B001QZZ1J8,A3F75F1Z5FUIY8,Lucky Mom of 5,9,9,5,1256860800,Huge hit!,7 in our family.  2 with celiac disease.  ALL love it - even the picky eaters!,1.0
106891,B001CHFSUW,A1791MP380S5YB,Shirley M. Trudell,9,9,3,1169164800,More coffee taste than flavor.,"Tried this product, the coffee was good, the flavor was low.  More coffee taste than flavor.  S. Trudell",1.0
107457,B001NH3YQG,A4ZFB125AR0GK,Teas Etc,9,9,5,1247529600,Pu'erh Tuo Cha From Teas Etc,  Length:: 4:34 Mins   ,1.0
109325,B001EQ5PLS,AOR52NN9OR1QK,C. Schultz,9,9,5,1163116800,great travel pack,This is the perfect size bottle to keep in your purse to use when out at a restaurant.,1.0
181374,B007PA34DS,A1P3QE98VVV1WD,Beverly Johnson,9,9,5,1295913600,Newman's Own special blend-decaf,We've tried many different kcups but find that Newman's Own-Decaf is our favorite. It is very smooth and great tasting.,1.0
217321,B0029XO8E0,A3V63C1R6RSNPJ,G. Mccorquodale,9,9,4,1262995200,Mature stilton,Good tasty traditional stilton.  A little wet when opened but quickly corrected in the air. Would purchase again.,1.0
221285,B001535GEG,AJDOAB0O62JLE,Book Worm,9,9,5,1238976000,Broth,I like the small size. You can make a cup of broth without opening a large box.I would recommed this.,1.0
230869,B003OP8KXM,A2KUXIG5W6YPT9,Lilly7,9,9,1,1322697600,Disappointing,Very disappointed with this item because the illustration showed it contained pistachio nuts and there were none in my package.,1.0
244766,B0049AH2Z8,A3PBNBRKJ6EUHM,Alibaba,9,9,1,1322006400,Overpriced item,"This item is WAY overpriced as compared to the prices at nespresso.com, which has provided me with outstanding customer service.",1.0
246694,B000EDG480,A1D7WFIFVMNGJ9,"Steven P. Hawker ""Eclectic""",9,9,5,1167868800,Bob's Red Mill Fava Beans,"Very uniform texture and big in size!  Excellent quality, highly recommended with full body flavor!!!",1.0
247264,B000EOXQS0,A2M1SO4RQNI4Q0,Rita Gupta,9,9,4,1202428800,Great price,Great priced 12 (total 48 envelopes) pack box. Almost half of what we pay in the stores. Excellent for traveling.,1.0
255901,B001HTKQQG,AUGWMGW2DWZFE,kmno2168,9,9,5,1264464000,Great Tofu Mixer!,Great mixer!  Recommended for anyone who wants to change up the way they eat tofu!,1.0
284768,B000PDLBBO,A37C9DUEI91QQ1,Zanzibar McFate,9,9,4,1195776000,"Good noodles, good value","The noodles are inexpensive, easy to make, and much more flavorful than the brands found in most American supermarkets.",1.0
289624,B000NQA1EG,A1K83P57H45B2W,Fred Cottrell,9,9,5,1266451200,FRED,BEST DARN SARDINES ON THE MARKET TODAY !!! I SHOULD KNOW BECAUSE I HAVE BEEN EATING SARDINES SINCE 1940 !!!,1.0
338478,B000AXSG2Q,A1BYNS98RNUNTR,K. Ngo,9,9,5,1215475200,Works as stated,"What can I say, it pumps when you need it to pump.  Still working after 1 year.",1.0
376600,B00015UC7K,A2UDH1UMDVC8BG,yvonne marshall,9,9,5,1263340800,love it,"can't get enough of this sugar, I try to use it sparingly just love it so much",1.0
402033,B000RHUYDY,A1991UY8GIW4UA,David E. Easterly,9,9,5,1220918400,25 lb bag quinoa,great buy and the product was fresh and packed great as well.  This is THE way to buy quinoa,1.0
409661,B0047YYSSA,ASKDT48QD6BPW,Justin Staley,9,9,5,1304208000,Great Flour,"This flour made my GF cookies amazing! Have since used the KA Chocolate Cake Mix, and that was great, too.",1.0
463902,B001EYUE34,A2AYP32COALF8G,reh9989,9,9,5,1277942400,Are you sure this is Decaf?,Best flavor of all the decaf's on here.  My hat is off to Green Mountain.,1.0
475394,B001EO5SFI,A1IPA6LP1KAT6,Airedales rule,9,9,5,1235520000,Nice price and fresh,The adzuki beans arrived fast and they were fresh. Too bad I found out we don't like adzuki beans. LOL,1.0
476047,B001V78QZW,A1FHTGQRCGL4VG,"iamtrying ""iamtrying""",9,9,5,1288569600,what I was expecting...,"these are great for the kids lunches and anytime snacking. nice assortment, well packaged and fast delivery.",1.0
480450,B0028A7HLU,A14FMV461J2V1M,Magic Pink,9,9,2,1266451200,Pretty poor quality,A good 50 of the peanuts in my cans were empty shells. Avoid this brand.,1.0
482676,B00018ZVSC,ATLWYFUJ6JC6L,"A. Blessinger ""arflain""",9,9,5,1161907200,The BEST escargot,These are the best escargot ever.  The escargot are not fatty or gritty. Excellent taste and texture.,1.0
514159,B000J6EO9S,A1JWVH9TK3CTQ5,"retired teacher ""the traveler""",9,9,5,1257724800,Karen,Excellent coffee; very smooth; no after taste left in the mouth; certainly plan to purchase again,1.0
561719,B000V1JVAI,ARCNANH5PMB4S,"Vivian E. Jackson ""vickij""",9,9,5,1241654400,A wonderful Product,This is a quick delicious light meal. I pop them in my bag for lunch.,1.0
1210,B005O072PC,A2BJTZ5JZHAJ9B,"Mona Osman ""zolwica""",9,10,4,1149984000,yum yum yum!,"They are more potato crockets in the shape of a ball rather than Au Gratin, but nevertheless YUM YUM YUM!",0.9
18796,B001PO7FIU,A3O7LO7Q1UGM5J,"Amazonhappy ""Sam""",9,10,5,1263081600,Got it as a gift for a health nut,Nice taste. I got it as a gift and the it was a big hit. Would certainly buy it again.,0.9
41648,B006ABD1SG,A1C2GFOPBDFM8L,David S. Lott,9,10,4,1312761600,Good Product Well Priced,"This is good, briny large crystal grey sea salt, which for most uses I prefer to the more expensive white.",0.9
157429,B0019QT66I,AC8NEZHM41IW2,Heide M. Marando,9,10,5,1226534400,Really Helpful,I use this product with my 2 year old daughter and its the only thing that will keep her regular.,0.9
205673,B00176MV3A,A203OQ5UTLMACR,Storywoman,9,10,1,1244851200,You've gotta be kidding me,"50 sheets of Nori at your local Asian grocer will run you maybe 10, often less. This price is ridiculous.",0.9
270170,B002AQ0OS0,A1Q3FUFUAF005V,"Darlene F. Brown ""Darlene""",9,10,5,1254614400,Excellent Bold without Bitterness,I have tried many dark roasts an bold coffees. This one is my favorite so far.,0.9
302224,B00015HNMM,A3QJB1P8V7IC94,Mike Passamondi,9,10,5,1213488000,tea,Great when you dont have time to prepare the loose tea. Very tasty! Much enjoyable tea.,0.9
406873,B000KEPBBY,A2QTJVNXRQRN1Q,L. Noble,9,10,4,1174348800,Veggie soup without lots of work.,Great flavored soup that you don't have to start from scratch.  Very healthy choice.,0.9
497422,B0015A2W32,AZ2SKYXDOW4QA,J. Sanders,9,10,5,1238716800,YUMMY!,Fast shipping! The mints were 100 the best andes ever because they were so fresh and perfect! Thank you!,0.9
499721,B000EDM70Y,AQY1EEI6XMQC6,T. Tkach,9,10,5,1167523200,Low carb baking mix,"Very good baking mix. I use it for muffins, pancakes and cornbread. Tastes great.",0.9
505277,B000AF0A78,A3T5FTKZ9UA12I,J. Rolston,9,10,5,1167868800,great tea,it tastes like licorice! very good tea.  doesn't really do all that much for my stomach thoough.,0.9
542637,B001E5E2EK,A1XGXTJKVZGW4D,Z. Allen,9,10,5,1230940800,Great for baking,This can be substituted for regular molasses in any recipe.  It is also excellent for sauces and syrups.,0.9
185641,B0019MYZGS,A29QN5NFDB0NFK,D. Bentley,9,11,4,1258070400,Not exactly what I had expected,"This is very delicious-tasting syrup.  However, I had intended on buying Grade B syrup.  This is Grade A.",0.8181818181818182
287390,B000YBKP50,A3QRRMJ72WTFBR,Jerome Reich,9,11,4,1255996800,Tasty,It is what I wanted. Loaded with tender dried fruit and nuts. I'll order again.,0.8181818181818182
302225,B00015HNMM,A18KBG7CPWYLJP,ex_otago,9,11,5,1133913600,nice tea,"Good tasting, rich tea - several cups' worth per teabag. And outstanding customer service from Generation Tea, thanks guys!!",0.8181818181818182
389783,B0008IT4OM,AWU1X0J9TXSFU,Notable,9,11,1,1174176000,Melted in transit,Melted in transit. Need I say more.... and its been very cold here.... 20-40 degrees.,0.8181818181818182
424576,B002HFPW6I,A3K893ZQAUFP3H,"Nianya Cambridge ""Magical Mischief Maker""",9,11,2,1268352000,Nutritional Information Needed,"If you are not going to include the nutritional information for your products, I will not buy them.",0.8181818181818182
442279,B0030HSFW0,A1XRPUO3Z4ZL2M,Bubba S,9,11,1,1279756800,crappy casing,"Low quality casing, to many nicks in the casing were the sausage broke open 'A LOT"" . Learned my lesson.",0.8181818181818182
515303,B0007IQQUS,A2CSZ87RO4912T,"M. MCKNIGHT ""reviewer""",9,11,5,1152230400,Give me my soul back,This coffee is extreme. It has taken hold of my soul and will not return it.,0.8181818181818182
521246,B000Y0M2NO,AWPN47SSWK1JV,K. Nordhus,9,11,5,1209168000,Works Great,"Works really good, but remember to not use too much. Otherwise you'll end up with a gooey mess.",0.8181818181818182
554884,B000643DVS,A1N2ZXPK5LJENB,"L. L. Garcia ""reel world""",9,11,4,1247443200,yum um,"for coffee loverss like me, this is the ultimate. no fancy flavor, just simple great tasting coffee",0.8181818181818182
277094,B000BHH3M0,A2MIP3AQVSF2SS,"Product Master ""PM""",9,12,5,1203552000,"Excellent, with a flavor all its own",Contains no cactus needles.  Works great for peanut butter and jelly sandwiches on toasted rye.,0.75
333049,B000MYW2ZA,AWJAEX7VFW10B,K. Watts,9,12,5,1239062400,Great product,This is a great way to get 10 cups of green tea in a capsule. I love it.,0.75
363509,B000RE6GLG,A11YUACED06O05,"John Knapp ""The Voice""",9,12,4,1232323200,Seems to be helping me,It seems to help.  It's early though.  I'm gonna keep taking it and see how it goes.,0.75
475035,B001I78ZYC,A3AFBKHUEWDITN,Hannah,9,12,1,1350518400,Disappointingly accurate sale.,"When it arrived, I found, to my dismay, that the box was full of candy corn. Would not buy again.",0.75
498348,B002DGOE3I,A3ET0LZXOBQZQ5,"VW ""ValiOcean""",9,12,4,1286409600,Good,Good product.  Hard to mix - That's rather normal in powders I've used.  Will reorder.,0.75
118104,B000JMBE3Q,A3S0QLX2RP4TZR,J. Moran,9,13,5,1163376000,Great product - ridiculous price!,4.99 - when i can buy it in the local store for 2.79?? I don't think so.,0.6923076923076923
229000,B00015UC52,A2GGB6D5WZ00RZ,"Patrick R. Burns ""appleseed""",9,13,5,1234656000,Clear jel review,Product received was as advertized.I would do business with this vendor again.I thought the shipping charges were high.,0.6923076923076923
377413,B000I5HBS6,A1IVB4USJ8CMYM,M. Lima,9,13,5,1193702400,Convenient for Food banks,This product is helpful for homeless and hungry patrons. The envelopes allow us to give milk to  needy recipients.,0.6923076923076923
399344,B00017LEX4,A32D188SSHH8LS,Pam Kelso,9,15,3,1153353600,popcorn,"Taste like popcorn, less husky but not worth the money. Won't be ordering again.",0.6
281938,B000GKVRRO,A2X9HR4P0XY8AQ,"fretgee ""dan""",9,16,5,1169164800,christmas present,i know this is special chocolate when my wife asked to have this as a yearly gift to her.,0.5625
3803,B001L1DYAA,A2I5OC3AQBTPC1,E. Irene Goulette,9,17,5,1234569600,Best Coffee OutThere,"Gevalia is the best coffee there is - always mellow, never bitter. I'd never drink any other brand.",0.5294117647058824
552403,B0007OPW5C,A3R25J093OGY3D,"S. Gordon ""astronomical13""",9,17,2,1138060800,Could be better!,These are not sturdy enough to use and I thought the cinnamon flavor was kind of weak.,0.5294117647058824
120163,B000EDM7BI,A11Z8F0841ES2F,LiquidShadows,9,19,1,1288224000,"For cooking, fairly decent...","These are VERY CLEAN, and just don't have that HIGHLY-lovely, usual  TRULY organic TASTE!!",0.47368421052631576
356583,B0008IUV0I,A1CW3J6VTNXOTO,Dan D.,9,19,5,1178668800,Great Balsamic Vinegar,"great taste, but a little pricey.  I called it the black gold.",0.47368421052631576
13503,B002MXSAD2,A18LB53J98Y35R,Condrichthyes,9,33,1,1258588800,Made in China,"Unfortunately, Made in China. I do not trust their manufacturing standards.  Looking for an alternative....",0.2727272727272727
3807,B000X2CWTM,A3PW3MJBQTWPYS,M. Lewis,8,8,5,1268179200,REAL licorice,"This is real licorice. It is soft, has great taste, and is very healthy! Love it.",1.0
54753,B002RU3GH0,A2VCTXJNFEK8JT,Rick Delia,8,8,5,1276473600,Great Stuff,"This oil is great, it smells like roasted coconut and you can actually eat it!",1.0
65653,B00410JCD6,A17I4O1W1XDL08,Pigfarm,8,8,3,1300579200,good product but tooo expensive here,2 bags of these in Asian supermarket are only 14 of what they listed here.  Love the products though.,1.0
78919,B001E5DZSY,A1AYCDAFG4HPVZ,J. Bazin,8,8,5,1195689600,delicious,"I love this popcorn.  It pops up big and fluffy, tastes so good, I'll never eat microwave popcorn again!",1.0
91493,B000EF3E2W,A2I6PEJ8TFWAJI,C4Miles,8,8,5,1235865600,Delish Sardines!,"Have tried many brands, but these are by far the best!  Highly recommend these!",1.0
106168,B0008DI8OY,A1YD8FWHVR77G1,Elizabeth Arbelaez,8,8,5,1310342400,Beautiful Cake Pops.,I use a small amount to thin candy melts for my cake pops. I could not make them without it.,1.0
107334,B005DFL4PM,A118B60BCVDBUV,Sandi,8,8,5,1319673600,PB2 Chocolate Powdered Peanut Butter,"Recently purchased- sprinkled over my ice cream tonight and went to heaven. If not so expense, I would purchase more",1.0
124618,B000N542KQ,A14COW8JDHODMK,P.C.,8,8,5,1223078400,Nice Curry!,I really like the flavor of this curry. I have purchased it a couple times. Very fresh!,1.0
138600,B001E5E0Z6,AQEQS5LG6W42M,M. Timmins,8,8,4,1198368000,Chocolate syrup,This is a very tasty product which is all natural and avoids high fructose corn syrup. Nice alternative.,1.0
140956,B004DBS2TI,A3CERM4YQI6DWD,Dennis in Houston,8,8,5,1279152000,My Favorite Coffee,This is now my favorite. I drink coffee black and the taste of Donut House is excellent.,1.0
155845,B000H9K3EW,AVOK5PZDYI98H,jjcsjc,8,8,1,1210550400,sugar free licorice,"Tasteless and tough, purchased 4 bags, returned 3 and threw the one I opened in the trash.",1.0
172404,B001FA1L9I,A1Q6UGK47FRCAQ,D. Peacock,8,8,4,1190764800,beans,They taste great. But the package was pretty poorly put together and half of the beans tins were beat up.,1.0
183817,B001FSK4OS,A12I4M8WSDNDPF,tea lover,8,8,5,1244592000,Oh Wow!,Wonderful - doesn't taste Gluten Free.  I really missed ravioli and this is great!,1.0
185638,B0019MYZGS,A3EZ9BKHJA06F1,Art Teacher,8,8,5,1236038400,Brown Family Farm Pure Vermont Maple Syrup,Quick Delivery and excellent product. Probably the best we've ever used. Very good price. Will order it again,1.0
205550,B000EWMJ8U,A3L11WCNJ40GZJ,"Violet Black ""Violet Black""",8,8,5,1200441600,Excellent and very hot!,"Great dried, red peppers! We ground these up and use the powder to spice up our thai food! Very hot!",1.0
265383,B000FL521G,AI92ZBATV7L2O,J. Acree,8,8,5,1170720000,Good - Natural Sugar Replacement,"Works great in coffee and tea, and can be used in baking as well.",1.0
300354,B000CR3YWW,A25EUHIHNGB4UT,AnyWoman &#34;AE&#34;,8,8,5,1158105600,delish,"delicious, better than a can any day and the same nutritional value, and at this price you cant beat it",1.0
308165,B006FQGQMO,A2UYH5PSDYSXXI,Mermama,8,8,5,1330214400,YUMMY!,"I get this same product for 9.95 at my local Costco. They are delicious. If you like seaweed, that is!!",1.0
314364,B002YLGA0W,A115RMP2FQFRB3,M. Coady,8,8,1,1308787200,Stale stale stale,Pros: Huge bag.  Probably 2 gallons of popcorn. Cons:  Stale to the point of being practically inedible.,1.0
